Topics,Words,Translate
Millenials,,
,adulting,взросление
,can-do attitude,отношение к делу
,coddled,изнеженный
,cram smth with smth,впихивать что-л в что-л
,cut someone some slack,дать кому-то послабление
,entitled,озаглавленный
,fad,причуда
,in dire straits,в отчаянном положении
,make a commitment,сделать комплимент
,make a meaningful contribution,внести значимый вклад
,pursue,преследовать
,seek challenges,искать вызовы
Dating,,
,a catch,улов
,a keeper,хранитель
,DM,ДМ
,dump,свалка
,hang out,тусоваться
,have a crush on,влюбиться в
,hit it off,найти общий язык
,hook-up,монтировать
,lead smb on,подвести кого-л. к
,make a move on,сделать шаг вперед
,one-night stand,секс на одну ночь
,significant other,вторая половинка
,split up with,рассталась с
,stand smb up,встать
Trends,,
,“it” thing,&quot;это&quot; вещь
,a killer something,убийца что-то
,be in,быть в
,be out,выйти
,brand new,совершенно новый
,endorse a craze,поддерживать повальное увлечение
,fall for the hype,попасться на ажиотаж
,lose appeal,потерять апелляцию
,passing trend,преходящий тренд
,revive a trend,возродить тенденцию
,sought-after,востребованный
,take off,Отгул
,the latest thing,последняя вещь
,top-notch,превосходный
Presenting a Product,,
,anticipate,предвидеть
,appeal to,апеллировать к
,by word of mouth,устно
,emphasize the perks,подчеркнуть преимущества
,endorse,одобрять
,enticing,соблазнительный
,hit the target audience,попасть в целевую аудиторию
,launch,запуск
,purchase smth just for kicks,покупать что-то просто так
,sample,образец
,susceptible to impulse buying,подвержен импульсивным покупкам
,woo the customers,ухаживать за клиентами
Habits,,
,avoid using fillers,избегать использования наполнителей
,be aware of one’s gestures,следить за своими жестами
,be on one’s game,быть в игре
,blink rapidly,быстро моргать
,boost one’s confidence,повышать свою уверенность
,convey feelings,передавать чувства
,dispel preconceptions,развеять предубеждения
,fidget nervously,нервно ерзать
,giggle hysterically,истерически хихикать
,maintain eye contact,поддерживать зрительный контакт
,make a snap judgment,сделать поспешный вывод
,mirror body language,зеркальный язык тела
,mumble unintelligibly,бормотать неразборчиво
,shift one’s eyes,перевести взгляд
,showcase body parts,показать части тела
,slouch one’s shoulders,сутулиться
,stare at one’s interlocutor,пристально смотреть на собеседника
,use non-verbal cues,использовать невербальные сигналы
Psychological Problems and Therapy,,
,be in therapy,находиться на терапии
,seek therapy,обратиться за терапией
,undergo therapy,пройти терапию
,child abuse,жестокое обращение с ребенком
,substance abuse,злоупотребление алкоголем или наркотиками
,power abuse,злоупотребление властью
,compulsion to eat,принуждение к еде
,compulsion to check everything,принуждение все проверять
,compulsion to review decisions,принуждение к пересмотру решений
,confront intrusive thoughts,бороться с навязчивыми мыслями
,confront phobias,противостоять фобиям
,confront anxiety,противостоять тревоге
,distinguish delusions,различать бред
,harbor delusions,питать иллюзии
,have delusions,бред
,drug addiction,наркотическая зависимость
,gambling addiction,Игромания
,gaming addiction,игровая зависимость
,eating disorder,расстройство пищевого поведения
,mental disorder,расстройство психики
,bipolar disorder,биполярное расстройство
,emotional malaise,эмоциональное недомогание
,psychological malaise,психологическое недомогание
,social malaise,социальное недомогание
,fit of depression,приступ депрессии
,fit of panic,приступ паники
,fit of rage,приступ ярости
,obsession with religion,одержимость религией
,obsession with cleanliness,одержимость чистотой
,obsession with health,одержимость здоровьем
,suffer from panic attacks,страдают паническими атаками
,suffer from schizophrenia,страдать шизофренией
,suffer from sleep deprivation and insomnia,страдают от недосыпания и бессонницы
Role Models,,
,adulation,лесть
,advocate for,выступать за
,campaign for,кампания за
,change agent,сменить агента
,empower,уполномочивать
,follow in someone’s footsteps,идти по чьим-то стопам
,idolize smb for smth,боготворить кого-л. за что-л.
,look up to,смотреть на
,profound impact,глубокое воздействие
,promote,продвигать
,show one’s appreciation,показать свою признательность
,take one’s hat off to,снять шляпу перед
,worship,поклонение
Risk,,
,assess potential hazards,оценить потенциальные опасности
,be hooked on,быть на крючке
,be scared stiff,быть напуганным
,bold,смелый
,daredevil,смельчак
,gamble,азартная игра
,handle the tension,справиться с напряжением
,harness one’s fear,обуздывать свой страх
,have the courage to,"иметь мужество, чтобы"
,lure,приманка
,make one’s palms sweat,заставить ладони потеть
,perform stunts,выполнять трюки
,play with fire,играть с огнем
Ideas and Creativity,,
,buzz with ideas,кайф от идей
,do brainstorming,провести мозговой штурм
,embrace,объятие
,fade away,исчезать
,feel stuck,чувствовать себя застрявшим
,idea-sparking mindset,"мышление, порождающее идеи"
,immerse in,погрузиться в
,improve a creative workflow,улучшить творческий рабочий процесс
,knack for creativity,способность к творчеству
,random musing,случайные размышления
,revelation,откровение
Adjectives to Describe Art,,
,appalling,ужасный
,bizarre,странный
,breathtaking,захватывающий дух
,dazzling,ослепительный
,grotesque,гротеск
,marvelous,чудесный
,mesmerizing,завораживающий
,thought-provoking,наводящий на размышления
,tranquil,спокойный
,vibrant,яркий
Physical Exercises,,
,do a plank,делать планку
,hold a plank,держать доску
,do back extension,сделать разгибание спины
,do bench press,делать жим лежа
,do biceps curls,сгибание рук на бицепс
,do chest flies,делать грудные мухи
